2016-08-30 11:42:39,672 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.spring:Spring-MVC-LoginForm:1.0.0-BUILD-SNAPSHOT @ C:\UserLoginApp\creativeapp\pom.xml.
2016-08-30 11:42:40,450 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.spring:Spring-MVC-LoginForm:1.0.0-BUILD-SNAPSHOT @ C:\UserLoginApp\a2\pom.xml.
2016-08-30 11:42:40,733 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.spring:Spring-MVC-LoginForm:1.0.0-BUILD-SNAPSHOT @ C:\UserLoginApp\creativeapp\pom.xml.
2016-08-30 11:42:50,521 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-30 11:42:50,571 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-08-30 11:42:50,646 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-30 11:42:50,647 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-08-30 11:42:52,521 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-30 11:42:52,524 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-08-30 11:42:52,703 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-30 11:42:52,704 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
